root_id,primary_type,region,idx
720575940628219479,hDeltaC,FB local (steering computation),498
720575940628907524,hDeltaC,FB local (steering computation),499
720575940629468739,hDeltaC,FB local (steering computation),500
720575940631366483,hDeltaC,FB local (steering computation),501
720575940631725011,hDeltaC,FB local (steering computation),502
720575940631983277,hDeltaC,FB local (steering computation),503
720575940632052010,hDeltaC,FB local (steering computation),504
720575940635678942,hDeltaC,FB local (steering computation),505
720575940638250112,hDeltaC,FB local (steering computation),506
720575940643703588,hDeltaC,FB local (steering computation),507
720575940604868286,hDeltaD,FB local (steering computation),508
720575940621139482,hDeltaD,FB local (steering computation),509
720575940624136489,hDeltaD,FB local (steering computation),510
720575940625962152,hDeltaD,FB local (steering computation),511
720575940626849301,hDeltaD,FB local (steering computation),512
720575940629506012,hDeltaD,FB local (steering computation),513
720575940630773585,hDeltaD,FB local (steering computation),514
720575940631619384,hDeltaD,FB local (steering computation),515
720575940621019674,hDeltaE,FB local (steering computation),516
720575940623242168,hDeltaE,FB local (steering computation),517
720575940624381966,hDeltaE,FB local (steering computation),518
720575940626343305,hDeltaE,FB local (steering computation),519
720575940627675121,hDeltaE,FB local (steering computation),520
720575940628168458,hDeltaE,FB local (steering computation),521
720575940634419051,hDeltaE,FB local (steering computation),522
720575940637303415,hDeltaE,FB local (steering computation),523
720575940616617940,hDeltaF,FB local (steering computation),524
720575940620012020,hDeltaF,FB local (steering computation),525
720575940623004711,hDeltaF,FB local (steering computation),526
720575940625392650,hDeltaF,FB local (steering computation),527
720575940625850938,hDeltaF,FB local (steering computation),528
720575940627782014,hDeltaF,FB local (steering computation),529
720575940628029378,hDeltaF,FB local (steering computation),530
720575940635969758,hDeltaF,FB local (steering computation),531
720575940604612832,hDeltaG,FB local (steering computation),532
720575940608208835,hDeltaG,FB local (steering computation),533
720575940620841310,hDeltaG,FB local (steering computation),534
720575940629039660,hDeltaG,FB local (steering computation),535
720575940631347596,hDeltaG,FB local (steering computation),536
720575940633909600,hDeltaG,FB local (steering computation),537
720575940634313071,hDeltaG,FB local (steering computation),538
720575940638114357,hDeltaG,FB local (steering computation),539
720575940616410171,hDeltaH,FB local (steering computation),540
720575940619683311,hDeltaH,FB local (steering computation),541
720575940619913221,hDeltaH,FB local (steering computation),542
720575940621709388,hDeltaH,FB local (steering computation),543
720575940622471721,hDeltaH,FB local (steering computation),544
720575940631508255,hDeltaH,FB local (steering computation),545
720575940633437176,hDeltaH,FB local (steering computation),546
720575940643408164,hDeltaH,FB local (steering computation),547
720575940603048108,hDeltaI,FB local (steering computation),548
720575940608370866,hDeltaI,FB local (steering computation),549
720575940611091780,hDeltaI,FB local (steering computation),550
720575940612895650,hDeltaI,FB local (steering computation),551
720575940613268370,hDeltaI,FB local (steering computation),552
720575940613326250,hDeltaI,FB local (steering computation),553
720575940624905404,hDeltaI,FB local (steering computation),554
720575940626666345,hDeltaI,FB local (steering computation),555
720575940628120402,hDeltaI,FB local (steering computation),556
720575940630814762,hDeltaI,FB local (steering computation),557
720575940631785441,hDeltaI,FB local (steering computation),558
720575940632097965,hDeltaI,FB local (steering computation),559
720575940632720279,hDeltaI,FB local (steering computation),560
720575940638006128,hDeltaI,FB local (steering computation),561
720575940639710883,hDeltaI,FB local (steering computation),562
720575940643937316,hDeltaI,FB local (steering computation),563
720575940650420726,hDeltaI,FB local (steering computation),564
720575940602747360,hDeltaJ,FB local (steering computation),565
720575940602920364,hDeltaJ,FB local (steering computation),566
720575940606683228,hDeltaJ,FB local (steering computation),567
720575940607309577,hDeltaJ,FB local (steering computation),568
720575940612972693,hDeltaJ,FB local (steering computation),569
720575940615193138,hDeltaJ,FB local (steering computation),570
720575940616330267,hDeltaJ,FB local (steering computation),571
720575940617073876,hDeltaJ,FB local (steering computation),572
720575940617949861,hDeltaJ,FB local (steering computation),573
720575940618744047,hDeltaJ,FB local (steering computation),574
720575940619293622,hDeltaJ,FB local (steering computation),575
720575940621838826,hDeltaJ,FB local (steering computation),576
720575940622438634,hDeltaJ,FB local (steering computation),577
720575940622683491,hDeltaJ,FB local (steering computation),578
720575940623222542,hDeltaJ,FB local (steering computation),579
720575940623310780,hDeltaJ,FB local (steering computation),580
720575940623590221,hDeltaJ,FB local (steering computation),581
720575940624103399,hDeltaJ,FB local (steering computation),582
720575940624940336,hDeltaJ,FB local (steering computation),583
720575940626429383,hDeltaJ,FB local (steering computation),584
720575940630020409,hDeltaJ,FB local (steering computation),585
720575940630556743,hDeltaJ,FB local (steering computation),586
720575940630692143,hDeltaJ,FB local (steering computation),587
720575940630892344,hDeltaJ,FB local (steering computation),588
720575940636702174,hDeltaJ,FB local (steering computation),589
720575940639468789,hDeltaJ,FB local (steering computation),590
720575940639596507,hDeltaJ,FB local (steering computation),591
720575940639598963,hDeltaJ,FB local (steering computation),592
720575940645448756,hDeltaJ,FB local (steering computation),593
720575940650870774,hDeltaJ,FB local (steering computation),594
